"id";"Verwaltungeinheit";"Entsorgungsgebiet";"PLZ";"zugeordneter_Kreis";"Unternehmen 1";"Unternehmen 2";"Abfallberater";"Adresse";"E-Mail";"Telefon";"Angebote";"Linktext 1";"Link 1";"Linktext 2";"Link 2";"Linktext 3";"Link 3"
94;"Landkreis Eichstätt";;;;"Landratsamt Eichstätt ";"Abfallwirtschaft";"Kathrin Husterer";"Residenzplatz 1, 85072 Eichstätt  ";"abfallwirtschaft@lra-ei.bayern.de ";"08421 70-342";"Abfallfibel, Trennhilfen, Abfall- und Umwelttipps";"Kontakt Abfallberatung";"http://www.landkreis-eichstaett.de/buergerservice-a-z/geschaeftsverteilung?Abfallberatung&view=org&orgid=fdc0767b-fa3b-4da6-a926-f5f9b3842d3b";;;;
95;"Landkreis Eifelkreis Bitburg-Prüm";;;;"Zweckverband Abfallwirtschaft
Region Trier (A.R.T.) ";"(für die Kreisverwaltung Eifelkreis Bitburg-Prüm)";"Abfalltelefon";"Löwenbrückener Straße 13/14, 54290 Trier";"abfall-telefon@art-trier.de";"0651 9491-414 ";"Tauschbörse, Trennhilfe in diversen Sprachen, Tipps zur Abfallvermeidung, Abfallpädagogik, Lehrmaterial";"Kontakt Abfalltelefon";"http://www.art-trier.de/cms/abfallvermeidung-1002.html";"Abfall-ABC";"http://www.art-trier.de/cms/abfall_az-1002.html";"Kontakt Untere Abfallbehörde Kreisverwaltung des Eifelkreises Bitburg-Prüm";"https://www.bitburg-pruem.de/cms/buergerservice-verwaltung/abfallentsorgung"
96;"Kreisfreie Stadt Eisenach";;;;"Abfallwirtschaftszweckverband Wartburgkreis - Stadt Eisenach (AZV) ";;"Frau Günther";"Andreasstraße 11, 36433 Bad Salzungen";"info@azv-wak-ea.de";"03695 673-404";"Trennhilfe, Tauschbörse, allgemeine Infos";"Kontakt Abfallberatung";"https://www.azv-wak-ea.de/ansprechpartner.html";"Infos zur Abfalltrennung";"https://www.azv-wak-ea.de/abfallarten.html";;
97;"Landkreis Elbe-Elster";;;;"Abfallentsorgungsverband Schwarze Elster";"(für Landkreis Elbe-Elster)";"Thomas Frahm";"Hüttenstraße 1c, 01979 Lauchhammer ";"t.frahm@schwarze-elster.de";"03574 4677-125 ";"Ausführliche Trennhilfe, allgemeine Infos zu Sammlung";"Kontakt Kundenservice";"http://www.schwarze-elster.de/ihr-aev/mitarbeiter/#1485940374251-11f4f1b6-9a83";"Abfall-ABC";"http://www.schwarze-elster.de/wohngrundstueck/abfall-abc/";;
98;"Kreisfreie Stadt Emden";;;;"Bau- und Entsorgungsbetrieb Emden (BEE)";;"Sven Domnik";"Zum Nordkai 12, 26725 Emden ";"bee@emden.de";"04921 87-5055 ";"Trennhilfe, Tipps zur Abfallvermeidung, Infos kompakt";"Kontakt Abfallberatung";"http://www.bee-emden.de/abfall/";"Infos zur Abfalltrennung";"http://www.bee-emden.de/abfall/entsorgungssystem/";;
99;"Landkreis Emmendingen";;;;"Landratsamt Emmendingen";"Eigenbetrieb Abfallwirtschaft ";"Frau Bernauer, Frau Gerstenberger";"Schwarzwaldstraße 4, 79312 Emmendingen";"a.bernauer@landkreis-emmendingen.de, a.gerstenberger@landkreis-emmendingen.de";"07641 451-9708 /-9700 ";"Sortierhilfen und Broschüren in vier Sprachen, Abfallpädagogik";"Kontakt Abfallberatung";"https://www.landkreis-emmendingen.de/verwaltung-service/abfallwirtschaft/kontakt-oeffnungszeiten/";"Abfall-ABC";"https://www.landkreis-emmendingen.de/verwaltung-service/abfallwirtschaft/abfall-abc-was-entsorge-ich-wo/abfall-abc/a/";"Informationsmaterial";"https://www.landkreis-emmendingen.de/verwaltung-service/abfallwirtschaft/informationsmaterial/"
100;"Landkreis Emsland";;;;"Kreisverwaltung Emsland";"Abfallwirtschaftsbetrieb Landkreis Emsland (AWB)";"Hedwig Lange";"Ordeniederung 1, 49716 Meppen";"hedwig.lange@awb-emsland.de ";"05931 44-1623";"Sortierhilfe in neun Sprachen, Tausch- und Verschenkbox";"Kontakt Abfallberatung";"http://www.awb-emsland.de/269.html";"Abfall-ABC";"http://www.awb-emsland.de/327.html";"Tausch- und Verschenkbox online";"http://www.awb-emsland.de/196.html"
101;"Kreis Ennepe-Ruhr-Kreis";;;;"AHE GmbH";;"Sandra Röder";"Nielandstr. 36, 58300 Wetter";"sandra.roeder@ahe.de";"02335 84577-19 ";"Abfallfibel, Sortierhilfen, Flyer, Infos kompakt";"Kontakt ""Verwaltung""";"http://www.ahe.de/ahe/team/";"Infos zur Abfalltrennung";"http://www.ahe.de/ahe/downloads/";;
102;"Landkreis Enzkreis";;;;"Landratsamt Enzkreis ";"ES Konzepte GbR im Auftrag des Landratsamts Enzkreis ";;"Pfälzerstr. 29, 75177 Pforzheim ";"abfallberatung@es-konzepte.de ";"07231 354838 ";"Sperrmüllbörse, Sortierhilfe, Reparatur- und Verleihführer, Gebrauchtwarenmarkt, Abfallpädagogik";"Kontakt Abfallberatung";"https://www.entsorgung-regional.de/index.php?show_dat=newshowtext2.php&id1=11&sn_id=53&zg=3";"Abfallvermeidungstipps";"https://www.entsorgung-regional.de/index.php?show_dat=newshowtext.php&id1=9&zg=1";"Abfall-ABC";"https://www.entsorgung-regional.de/index.php?show_dat=abfallabc/abfallabc.php&id1=5&zg=1"
103;"Landkreis Erding";;;;"Landratsamt Erding ";"Abfallwirtschaft ";"Waldemar Kaspar";"Alois-Schießl-Platz 2, 85435 Erding";"kaspar.waldemar@lra-ed.de, abfall@lra-ed.de";"08122  58-1317";"Reparaturführer, Second-Hand-Führer, Abfallfibel, allgemeine Infos";"Kontakt Abfallberatung";"https://www.landkreis-erding.de/abfallwirtschaft/abfallberatung/";"Merkblätter und Angebote";"https://www.landkreis-erding.de/abfallwirtschaft/abfallberatung/";;
104;;"Erftstadt";50374;"Kreis Rhein-Erft-Kreis";"Stadtverwaltung Erftstadt";"Umwelt-Abfall-Energie";"Dr. Kerstin Engelhardt";"Holzdamm 10, 50374 Erftstadt";"kerstin.engelhardt@erftstadt.de";"02235 409-322";"Sortierhilfen, Geschenkbörsen, Möbelbörse „Hab und Gut“, Infos kompakt";"Kontakt Abfallberatung";"http://www.erftstadt.de/web/rathaus-in-erftstadt/umwelt-abfall-energie/umweltangelegenheiten";"Abfall-Informationen";"http://www.erftstadt.de/web/rathaus-in-erftstadt/umwelt-abfall-energie/abfall-a-z";;
105;"Kreisfreie Stadt Erfurt";;;;"SWE Stadtwerke Erfurt GmbH";;"Abfall- und Wertstoffberatung";"Magdeburger Allee 34, 99086 Erfurt ";"stadtwirtschaft@stadtwerke-erfurt.de ";"0361 564-3455";"Trennhilfen, Infos kompakt, Gebrauchtwaren-Kaufhaus";"Kontakt Abfallberatung";"https://www.stadtwerke-erfurt.de/pb/79969";"""Möbelrettungsprogramm"" Stöberhaus";"https://www.stadtwerke-erfurt.de/pb/swe/produkte+_+leistungen/entsorgung/das+stoeberhaus-prinzip";"Infos zur Abfalltrennung";"https://www.stadtwerke-erfurt.de/pb/swe/produkte+_+leistungen/entsorgung/abfallarten"
106;;"Erkrath";40822;"Kreis Mettmann";"Stadtverwaltung Erkrath";;"Helga Willmes-Sternberg";"Schimmelbuschstraße 11-13, 40699 Erkrath";"abfallberatung@erkrath.de";"0211 2407-6161";"Sortierhilfe in diversen Sprachen, Broschüren, „Kreativregal“- Bücherei (Tauschaktion), Ausstellung Papierrecycling, Abfallpädagogik";"Kontakt Abfallberatung und Trenn-Tipps";"https://www.erkrath.de/index.phtml?La=1&sNavID=1630.243&mNavID=1.100&object=tx, 1630.3820.1&kat=&kuo=2&sub=0";"Tipps zur Abfallvermeidung";"https://www.erkrath.de/index.phtml?La=1&sNavID=1630.243&mNavID=1.100&object=tx, 1630.3159.1&kat=&kuo=2&sub=0";;
107;"Kreisfreie Stadt Erlangen";;;;"Stadtverwaltung Erlangen";"Amt für Umweltschutz und Energiefragen ";"Abfallberatung";"Schuhstraße 40, 91052 Erlangen ";;"09131 86-2939 ";"Broschüren, Initiative „Unverpackt einkaufen“, Aktionen und Projekte auch zu „Spenden-Schenken-Tauschen“, Sortierhilfen, Geschirrmobil, Abfallvermeidung-Tipps";"Kontakt Abfallberatung";"https://www.erlangen.de/desktopdefault.aspx/tabid-1132/19_read-15465/";"Übersicht ""Ökologische Abfallwirtschaft""";"http://www.erlangen.de/desktopdefault.aspx/tabid-1236/";;
108;"Landkreis Erlangen-Höchstadt";;;;"Landratsamt Erlangen-Höchstadt";"SG: Kommunale Abfallwirtschaft ";"Claudia Jarosch, Udo Gehrke, Sarah Weber ";"Schloßberg 10, 91315 Höchstadt a. d. Aisch";"udo.gehrke@erlangen-hoechstadt.de, sarah.weber@erlangen-hoechstadt.de, claudia.jarosch@erlangen-hoechstadt.de";"09193 20-589 /-59 /-597";"Abfallfibel, Abfallpädagogik, Geschirrpool, „Kreislauf-Kaufhäuser“, Tipps und Infos";"Kontakt Abfallberatung";"https://www.erlangen-hoechstadt.de/buergerservice/a-bis-z/abfall-tipps-und-infos/";;;;
109;"Landkreis Erzgebirgskreis";;;;"Landratsamt Erzgebirgskreis";"Zweckverband Abfallwirtschaft Südwestsachsen (ZAS) ";"Frau Neubert, Frau Paschke, Frau N. Voigt ";"Schlachthofstraße 12, 09366 Stollberg ";" u.neubert@za-sws.de, e.paschke@za-sws.de,  n.voigt@za-sws.de  ";"03735 601-6351 /-50 sowie 037296 66-282";"Sortierhilfen, Infos kompakt, Abfallratgeber";"Kontakt Abfallberatung";"http://www.za-sws.de/abfallberatung.cfm";"Abfall-ABC";"http://www.za-sws.de/abfall-abc.cfm";"Abfallkalender";"http://www.za-sws.de/abfallkalender.cfm"
110;;"Eschweiler";52249;"Kreis Städteregion Aachen";"Zweckverband Entsorgunsregion West (ZEW)";"AWA Entsorgung GmbH";"Regina Brück";"Zum Hagelkreuz 24, 52249 Eschweiler ";"regina.brueck@awa-gmbh.de ";"02403 8766353 ";"Didaktisch sehr gut aufbereitetes Infomaterial, Sortierhilfe in 14 Sprachen, Abfallwegweiser, Spielzeug-Tausch-Tag, Ausstellung „Lebensmittelverschwendung“, Abfallpädagogik, Umsonst-Laden, Online-Tauschportal";"Übersicht Abfallberatung";"http://www.awa-gmbh.de/abfallberatung/";"Online-Tauschportal";"http://tauschen-und-verschenken.de/list.asp";"Umsonst-Laden ÖMMESÖNZ";"http://www.awa-gmbh.de/abfallberatung/oemmezoenz/"
111;"Kreisfreie Stadt Essen";;;;"Entsorgungsbetriebe Essen GmbH";;"Nur allgemeine Kontaktangaben";"Pferdebahnstr. 32, 45141 Essen";"info@ebe-essen.de";"0201 854-2222 ";"Tausch- und Verschenkmarkt, Trennhilfe, Tipps zur Abfallvermeidung, Abfallpädagogik, Infos kompakt";"Übersicht Abfallberatung";"http://www.ebe-essen.de/privatkunden/abfallberatung/";"Tipps zur Abfallvermeidung";"http://www.ebe-essen.de/privatkunden/abfallberatung/praktische-tipps/";"Infos zur Abfalltrennung";"http://www.ebe-essen.de/privatkunden/abfallberatung/muell-trennen/"
112;"Landkreis Esslingen";;;;"Landratsamt Esslingen";"Abfallwirtschaftsbetrieb des Landkreises Esslingen";;"Pulverwiesen 11, 73728 Esslingen";"beratung-awb@lra-es.de ";"0 800 931 25 26";"Verschenkmarkt, Trennhilfe, Tipps zur Abfallvermeidung, Infos kompakt";"Kontakt Kundenservice";"http://www.awb-es.de/service/beratung/__Beratung.html#Kundenberatung";"Tipps zur Abfallvermeidung";"http://www.awb-es.de/abfallinfo/abfall_vermeiden/__Abfall-vermeiden.html";"Abfall-ABC";"http://www.awb-es.de/abfallinfo/abfall_abc/__Abfall-ABC.html"
113;;"Euskirchen";53879.53881;"Kreis Euskirchen";"Stadtverwaltung Euskirchen";;"Herr Klink, Frau Brenig-Olef";"Baumstr. 2, 53879 Euskirchen ";"abfallwirtschaft@euskirchen.de ";"02251 14-457 /-280";"Verschenkbörse, Trennhilfe, Infos kompakt; Kork- und CD-Sammlung";"Kontakt Abfallberatung";"http://www.euskirchen.de/service/abfallinformationen/ansprechpartner-telefonnummern/";"Infos zur Abfalltrennung";"https://www.euskirchen.de/service/abfallinformationen/die-dualen-systeme/";"Online-Verschenkbörse";"http://www.euskirchen.internet-verschenkmarkt.de/list.asp"
114;"Kreis Euskirchen";"Euskirchen Kreis";;;"Kreisverwaltung Euskirchen";;"Lothar Mehren, Guenter Adelt, Karen Beuke  ";"Jülicher Ring 32, 53879 Euskirchen ";"abfallberatung@kreis-euskirchen.de ";"02251 15-241 / -989/ -530 /-371";"Flyer und Broschüren, Abfallpädagogik, Sortierhilfen, Kompostfibel";"Kontakt Abfallberatung";"http://www.kreis-euskirchen.de/umwelt/abfall/abfallberatung.php#a0";"Infos zur Abfalltrennung";"http://www.kreis-euskirchen.de/umwelt/abfall/abfallarten.php";;
